"customer_id","email","first_name","last_name","phone","address_line1","address_line2","city","state","postal_code","country","created_at","updated_at","is_active","customer_segment","lifetime_value"
"000df03d-81e3-4bd3-93ba-408665d129f6","zstephens@example.net","Kevin","Clark","980.978.6736","22534 Angela Cove Suite 485","NULL","East Shirleytown","KS","52539","US","2025-10-31 16:06:40","2025-10-31 16:06:40","1","New","6901.66"
"0011f496-3728-4c7a-aaa9-515b88c3655c","medinatodd@example.com","Austin","Mason","(543)733-3308x32683","438 White Grove","NULL","South Gary","DE","55515","US","2024-10-04 16:45:43","2024-10-04 16:45:43","1","Low Value","8609.48"
"001cc10b-59b5-4e88-b6d2-09f0ef306298","deborah77@example.com","Kimberly","Thompson","510.823.5673x962","73546 Moore Heights","NULL","South Brooke","VA","54044","US","2024-12-10 12:54:01","2024-12-10 12:54:01","1","Medium Value","5021.05"
"001e3637-a58f-434e-aa32-a4b4891c3bbe","thompsondonna@example.net","Jeremy","Oneill","+1-785-791-7546x0389","4502 Bryant Greens Apt. 224","NULL","Port Jeffreyton","NH","94185","US","2025-10-08 21:15:46","2025-10-08 21:15:46","1","New","1463.20"
"0029a8fb-ac76-4bb1-89ef-cfb236392732","stacienash@example.net","Brian","Allen","+1-653-944-3720x9862","632 Miller Isle","NULL","Luisshire","NM","52344","US","2025-02-08 03:26:23","2025-02-08 03:26:23","1","Medium Value","791.63"
"002b6bd5-a5d4-4ddd-9e7e-0d2516e36eec","olsonronald@example.net","Theresa","Mitchell","+1-214-530-4972x266","087 Perez Mews","NULL","Port Jillian","AS","28816","US","2024-08-15 10:08:43","2024-08-15 10:08:43","1","Medium Value","9688.67"
"002caea7-af69-433a-82e6-d4d948e27502","christopher19@example.org","Stacy","Santiago","001-504-751-8121x460","37073 Durham Forest","NULL","East Jacob","HI","42047","US","2024-06-17 09:30:10","2024-06-17 09:30:10","1","Low Value","394.22"
"0032d884-043e-434b-bd93-451c97373bff","kochmary@example.com","Timothy","Allen","001-878-251-8299x445","17558 Miller Courts","NULL","Blanchardbury","KS","51438","US","2025-01-30 04:16:22","2025-01-30 04:16:22","1","Medium Value","573.80"
"00338148-dc0f-46c5-9de6-00d742cd8844","xharper@example.org","Rebecca","Martin","471.766.8328x68688","194 Torres Haven Suite 129","NULL","Jacquelineborough","KY","80305","US","2025-11-24 21:57:55","2025-11-24 21:57:55","1","At Risk","1819.61"
"0043e3be-c79e-48e3-8a45-1d80a8c19784","mitchell47@example.com","Howard","Cruz","(512)381-5922x34151","720 Shea Pine","NULL","New Barbara","IA","48554","US","2024-02-21 22:01:37","2024-02-21 22:01:37","1","At Risk","9107.00"
"0043f337-8d32-42b7-b9a8-a7808910f5a6","beasleyann@example.net","James","Adams","001-405-853-8768x554","56940 George Mount","NULL","South Garyburgh","NE","51766","US","2024-11-09 16:55:13","2024-11-09 16:55:13","1","New","3447.14"
"0045266c-5388-4b1f-bb05-7312f0f0595a","qjones@example.com","Makayla","Carter","+1-410-468-4764x1757","672 Johnson Loaf","NULL","Mooretown","MS","83940","US","2025-07-29 22:33:04","2025-07-29 22:33:04","1","Low Value","852.47"
